Country,Commodity,Year,Loss Percentage,Loss Quantity,Stage,Method,Reference
America, ,2005,3,0,Whole supply chain,National Accounts,N/A
America, ,2005,12.9,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America, ,2004,3,0,Whole supply chain,National Accounts,N/A
America, ,2004,3,0,Whole supply chain,National Accounts,N/A
America, ,2003,3,0,Whole supply chain,National Accounts,N/A
America, ,2003,3,0,Whole supply chain,National Accounts,N/A
America, ,2002,3,0,Whole supply chain,National Accounts,N/A
America, ,2002,3,0,Whole supply chain,National Accounts,N/A
America, ,2001,3,0,Whole supply chain,National Accounts,N/A
America, ,2001,3,0,Whole supply chain,National Accounts,N/A
America, ,2000,3,0,Whole supply chain,National Accounts,N/A
America, ,2000,3,0,Whole supply chain,National Accounts,N/A
America,Almonds - Shelled,2007,2.59,31390,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Almonds - Shelled,2006,3,25380,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Almonds - Shelled,2005,3.92,27600,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Almonds - Shelled,2004,3.84,30200,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Almonds - Shelled,2003,2.1,16500,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Almonds - Shelled,2002,1.91,15300,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Almonds - Shelled,2001,3.64,22200,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Almonds - Shelled,2000,3.68,19600,Whole supply chain,FAO's Questionnaires,FAO Sources
America,Apple juice,2018,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2017,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2016,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2015,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2014,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2013,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2012,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2011,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2010,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2009,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2008,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2007,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2006,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2005,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2004,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2003,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2002,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2001,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apple juice,2000,26.6667,0,Whole supply chain,National Accounts,N/A
America,Apples,2018,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2018,19.2,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Apples,2017,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2016,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2015,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2014,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2013,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2012,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2011,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2010,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2009,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2008,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apples,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apples,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apples,2008,27,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apples,2007,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2006,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2006,7.8,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Apples,2005,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2005,9.5,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Apples,2004,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2003,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2002,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2001,4,0,Whole supply chain,National Accounts,N/A
America,Apples,2000,4,0,Whole supply chain,National Accounts,N/A
America,Apricots,2018,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2018,30,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Apricots,2017,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2016,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2015,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2014,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2013,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2012,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2011,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2010,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2009,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2008,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apricots,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apricots,2008,48,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apricots,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Apricots,2007,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2006,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2006,32.6,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Apricots,2005,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2005,37.5,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Apricots,2004,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2003,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2002,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2001,9,0,Whole supply chain,National Accounts,N/A
America,Apricots,2000,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2019,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2018,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2018,15.8,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Asparagus,2017,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2016,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2015,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2014,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2013,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2012,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2011,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2010,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2009,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2008,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2008,28,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Asparagus,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Asparagus,2008,34,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Asparagus,2007,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2006,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2006,8,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Asparagus,2005,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2005,10.8,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Asparagus,2004,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2003,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2002,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2001,9,0,Whole supply chain,National Accounts,N/A
America,Asparagus,2000,9,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2019,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2018,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2018,20.6,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Aubergines,2017,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2016,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2015,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2014,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2013,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2012,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2011,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2010,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2009,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2008,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2008,43,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Aubergines,2007,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2006,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2006,21.2,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Aubergines,2005,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2005,21.5,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Aubergines,2004,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2003,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2002,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2001,10,0,Whole supply chain,National Accounts,N/A
America,Aubergines,2000,10,0,Whole supply chain,National Accounts,N/A
America,Avocados,2018,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2018,19,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Avocados,2017,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2016,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2015,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2014,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2013,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2012,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2011,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2010,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2009,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2008,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2008,27,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Avocados,2007,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2006,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2006,9,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Avocados,2005,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2005,9.7,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Avocados,2004,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2003,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2002,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2001,6,0,Whole supply chain,National Accounts,N/A
America,Avocados,2000,6,0,Whole supply chain,National Accounts,N/A
America,Bananas,2018,4.1,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Bananas,2014,4,0,Retail,Literature Review,"NA (2017), nrdc: wasted - how america is losing up to 40 percent of its food from farm to fork to l&fill (pdf)"
America,Bananas,2008,26,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Bananas,2006,6.5,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Bananas,2005,9.4,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Beans - Dry,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Beef,2008,34,0,Households,Modelled Estimates,"J.C. Buzby, J. Hyman / Food Policy 37 (2012) 561–570"
America,Blueberries,2018,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2018,8.9,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Blueberries,2017,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2016,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2015,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2014,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2013,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2012,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2011,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2010,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2009,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2008,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2008,24,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Blueberries,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Blueberries,2007,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2006,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2006,4.6,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Blueberries,2005,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2005,5.9,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Blueberries,2004,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2003,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2002,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2001,8,0,Whole supply chain,National Accounts,N/A
America,Blueberries,2000,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2019,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2019,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2019,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2019,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2019,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2018,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2018,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2018,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2018,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2018,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2018,7.4,0,Retail,Modelled Estimates,"Ron Porat,Amnon Lichter,Leon A. Terry,Roger Harker,Jean Buzby (2018), Postharvest losses of fruit & vegetables during retail & in consumers’ homes: Quantifications, causes, & means of prevention"
America,Cabbages,2017,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2017,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2017,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2017,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2017,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2016,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2016,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2016,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2016,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2016,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2015,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2015,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2015,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2015,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2015,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2014,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2014,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2014,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2014,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2014,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2013,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2013,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2013,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2013,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2013,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2012,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2012,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2012,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2012,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2012,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2011,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2011,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2011,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2011,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2011,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2010,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2010,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2010,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2010,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2010,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2009,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2009,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2009,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2009,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2009,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2008,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2008,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2008,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2008,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2008,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2008,31,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Cabbages,2008,15,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Cabbages,2008,31,0,Households,Modelled Estimates,"NA (2011), the value of retail- & consumer-level fruit & vegetable losses in the united states"
America,Cabbages,2007,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2007,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2007,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2007,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2007,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2006,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2006,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2006,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2006,8,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2006,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2006,11.8,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Cabbages,2006,17.4,0,Retail,Modelled Estimates,"Esenyan, Ani. 2014. Want All, Waste All: Exploring Food Waste in the United States. 2014 Student Theses. Fordham University."
America,Cabbages,2005,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2005,7,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2005,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2005,12,0,Whole supply chain,National Accounts,N/A
America,Cabbages,2005,8,0,Whole supply chain,National Accounts,N/A
